
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      8,512 K
Registry                       100 Services                   0     51,520 K
smss.exe                       432 Services                   0        324 K
csrss.exe                      540 Services                   0      3,048 K
wininit.exe                    724 Services                   0      1,412 K
csrss.exe                      748 Console                    1      4,640 K
winlogon.exe                   836 Console                    1     23,888 K
services.exe                   868 Services                   0      7,296 K
lsass.exe                      876 Services                   0     19,156 K
svchost.exe                     68 Services                   0     23,440 K
fontdrvhost.exe                488 Console                    1      7,864 K
fontdrvhost.exe                468 Services                   0      2,172 K
svchost.exe                    652 Services                   0     16,724 K
svchost.exe                    716 Services                   0      4,052 K
WUDFHost.exe                   480 Services                   0      1,324 K
dwm.exe                       1088 Console                    1     79,164 K
svchost.exe                   1208 Services                   0      9,496 K
svchost.exe                   1236 Services                   0      5,440 K
svchost.exe                   1244 Services                   0      4,892 K
svchost.exe                   1296 Services                   0      4,656 K
svchost.exe                   1348 Services                   0      2,536 K
svchost.exe                   1360 Services                   0      4,048 K
svchost.exe                   1424 Services                   0      2,152 K
svchost.exe                   1540 Services                   0      8,388 K
svchost.exe                   1548 Services                   0     11,260 K
svchost.exe                   1684 Services                   0      2,572 K
svchost.exe                   1812 Services                   0      3,916 K
nvvsvc.exe                    1884 Services                   0      3,980 K
svchost.exe                   1912 Services                   0      2,504 K
nvscpapisvr.exe               1932 Services                   0      2,708 K
svchost.exe                   1988 Services                   0      2,940 K
nvxdsync.exe                  2036 Console                    1      9,928 K
svchost.exe                   2056 Services                   0      6,488 K
svchost.exe                   2100 Services                   0      2,472 K
svchost.exe                   2200 Services                   0    109,172 K
svchost.exe                   2208 Services                   0      2,440 K
svchost.exe                   2216 Services                   0      4,296 K
svchost.exe                   2296 Services                   0      1,296 K
svchost.exe                   2320 Services                   0      2,348 K
svchost.exe                   2328 Services                   0      6,128 K
Memory Compression            2432 Services                   0    339,980 K
svchost.exe                   2484 Services                   0      9,236 K
svchost.exe                   2544 Services                   0      3,668 K
svchost.exe                   2548 Services                   0      5,700 K
svchost.exe                   2560 Services                   0      4,136 K
svchost.exe                   2764 Services                   0      3,896 K
svchost.exe                   2832 Services                   0     18,936 K
svchost.exe                   2864 Services                   0      7,480 K
svchost.exe                   2944 Services                   0      1,452 K
svchost.exe                   2984 Services                   0      8,016 K
spoolsv.exe                   3044 Services                   0      4,412 K
svchost.exe                   1768 Services                   0      7,608 K
svchost.exe                   2604 Services                   0      2,844 K
svchost.exe                   3300 Services                   0     13,840 K
svchost.exe                   3316 Services                   0     25,196 K
svchost.exe                   3324 Services                   0      6,240 K
svchost.exe                   3332 Services                   0     38,752 K
svchost.exe                   3344 Services                   0     11,932 K
svchost.exe                   3404 Services                   0      1,980 K
svchost.exe                   3400 Services                   0     12,392 K
svchost.exe                   3416 Services                   0      1,896 K
HidMonitorSvc.exe             3424 Services                   0      1,180 K
svchost.exe                   3432 Services                   0      1,676 K
gameinputsvc.exe              3504 Services                   0      1,280 K
svchost.exe                   3572 Services                   0      1,980 K
svchost.exe                   3668 Services                   0      1,564 K
ss_conn_service.exe           3676 Services                   0      1,228 K
ss_conn_service2.exe          3684 Services                   0      1,376 K
MsMpEng.exe                   3736 Services                   0    184,156 K
dasHost.exe                   3828 Services                   0      8,916 K
gameinputsvc.exe              3848 Console                    1      5,504 K
svchost.exe                   3916 Services                   0      4,400 K
svchost.exe                   4012 Services                   0      3,580 K
svchost.exe                   3084 Services                   0      3,440 K
svchost.exe                   3200 Services                   0      2,712 K
svchost.exe                   4764 Services                   0      3,292 K
svchost.exe                   4856 Services                   0      1,812 K
svchost.exe                   4968 Services                   0      2,928 K
svchost.exe                   2704 Services                   0      4,308 K
dllhost.exe                   5844 Services                   0      5,752 K
gamingservicesnet.exe         1896 Services                   0        912 K
gamingservices.exe            1920 Services                   0     19,204 K
svchost.exe                   1880 Services                   0      3,940 K
svchost.exe                   5784 Services                   0      7,392 K
svchost.exe                   5908 Services                   0      2,300 K
svchost.exe                   6112 Services                   0     12,200 K
